id,Mention_country,treated,log_count,log_gdp,log_population,log_Rpop,pretrend_slope,log_count_bin,log_gdp_bin,log_population_bin,log_Rpop_bin,pretrend_slope_bin,stratum,n_control,n_treated,cem_w
1,ago,0.0,1.4670220703338035,7.644569000462545,16.82068897514336,4.042116586873045,0.10291629393467848,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
2,alb,0.0,2.6207605296817715,7.961444605767704,14.909524170331776,5.5335270708087165,0.14808119008291956,"(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
14,bgr,0.0,4.87616702908012,8.403018943310949,15.844465412119389,8.79147002922755,0.10738471024933074,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
15,bhr,1.0,3.397298122124366,9.795385391069066,13.776355447567425,6.0240066814582285,0.08953824436568486,"(-0.75, 0.75]","(0.75, 1.5]","(-inf, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,1.0
16,bih,0.0,3.4313702878280163,8.041863390490866,15.210075097537109,7.03016977889576,0.2377505538971163,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",4,1,0.25
17,blr,0.0,3.257574981315709,8.1551692936356,16.081097953456418,8.16069481536319,0.018086575807982924,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,0.3333333333333333
18,bol,0.0,3.416980666373286,7.123500705362346,16.071172701178625,5.927856498976094,0.08814349038367808,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
20,bwa,0.0,4.243743270509608,8.479091850225688,14.474541671458825,6.34686561539004,0.05813695349849284,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
27,cmr,0.0,4.74603570671517,7.072261856572289,16.692953480638792,7.343470037969175,0.08573536406660306,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
28,col,0.0,5.595716837681811,8.252845511534025,17.569441702211567,8.73560659071726,0.2197040514877141,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",4,1,0.25
29,cri,0.0,4.408537329990452,8.596172973899222,15.291002036316318,6.834388939254289,0.06581377988313286,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
30,cub,0.0,4.993054958760837,8.325714027449518,16.23559029639605,8.798118153718248,0.1382483207631785,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
36,dom,0.0,1.7895815204619514,8.258031811893105,16.043229169061988,4.502837933683031,0.09886915979363889,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
38,ecu,0.0,3.6895566060577085,8.094499453019532,16.454909123968775,6.470165942372538,0.10405240375353564,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
39,egy,1.0,5.777520265967254,7.291950926953074,18.20508189988967,9.59981945359839,0.1315347688621138,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]",1,1,1.0
42,est,0.0,4.791488594405498,9.331235338197276,14.116200394426512,7.984586883535645,0.12384658527254243,"(-0.75, 0.75]","(0.75, 1.5]","(-inf, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,0.6
46,gab,0.0,2.766569034383438,8.788226882668816,14.226187754341794,5.479328832611837,0.07382074061759818,"(-1.5, -0.75]","(-0.75, 0.75]","(-inf, -1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
51,gtm,0.0,2.6857172735775863,7.70754462578699,16.39508754139767,5.307552907910685,0.09671030759804493,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
53,hnd,0.0,1.7724289147151577,7.263914616313654,15.860256535330599,4.389513667544522,0.09465477475868127,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
54,hrv,0.0,5.899053569044505,9.315343374961422,15.275467896929705,9.292781988068144,0.09306809498786911,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
57,idn,0.0,4.977526494614879,7.3572544013709456,19.26146828440052,8.108711270471225,0.13714541832694643,"(-0.75, 0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
63,jam,0.0,3.9394188275872843,8.361488910889735,14.804106085459056,6.407538138855553,0.08175139136407183,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
64,jor,1.0,5.28049137839329,7.853560287887881,15.616642755321115,7.923126830482401,0.11848096198561676,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,1.0
66,kaz,0.0,2.9693198344348057,8.408166223679501,16.551612535462795,7.01940342524649,0.05007751149145023,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,0.3333333333333333
69,khm,0.0,3.0734471726767683,6.279852493110158,16.415339672475657,5.616739135466791,0.15443805043994316,"(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]|(-0.75, 0.75]",2,1,0.5
71,kwt,1.0,4.896373820976994,10.447912889146854,14.692433227682828,7.570919755098681,0.05966430171352022,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(-0.75, 0.75]|(-0.75, 0.75]",5,3,1.0
73,lbn,0.0,4.310575825645247,8.573653625048992,15.367793466851143,7.624733316596075,0.10243793609579332,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
75,lby,1.0,2.87107535450866,8.997379462847766,15.598555273427074,5.678414434935771,0.14065332884900505,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,1.0
76,lka,0.0,4.686608100817122,7.285100922598657,16.805147666655003,7.200225832923942,0.10541253481273624,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
78,ltu,0.0,4.981632546265882,9.071983387228354,15.002688381533416,8.509207323669393,0.14647349437345858,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",17,2,0.11764705882352941
79,lva,0.0,3.3840718884495407,9.086548669458384,14.610342897788232,7.338447671564307,0.24183537435515154,"(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(1.5, inf]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(1.5, inf]",4,1,0.25
80,mar,1.0,4.897364342144497,7.799410771402502,17.244047337200314,8.670477458252376,0.046160699912566105,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-1.5, -0.75]",3,1,1.0
88,moz,0.0,3.0455233392822842,6.103657998840186,16.847965224197978,5.449807435297595,0.10769953809040556,"(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]|(-0.75, 0.75]",2,1,0.5
