year,treated_foreign,rest_of_world_foreign,CW_foreign,GO_foreign,GC_foreign,MENA_foreign,cem1_foreign,cem2_foreign,cem3_foreign
2002,71.18426164854318,194.25586089360252,27.22141355772813,130.30822039907798,73.91238700281829,67.1655738090165,67.24718884275775,71.9118008518968,67.02905851269024
2003,68.80259321574121,195.5056378657921,31.7972165911148,126.21558872470632,68.04062098693103,78.95470438990742,68.52586953004732,73.6875382415118,68.77638360466226
2004,71.57801278717815,203.3760440594534,31.4186173658818,119.33051881217398,76.57264762995764,86.76479985006154,76.27348415193057,79.90029031191854,75.35375638155965
2005,74.40924491047626,221.14724849927222,34.00736036225377,128.29775582114235,77.09497127514332,92.42160886257189,82.64009857580307,85.30603107646296,81.21639459446597
2006,85.39807601585053,252.02165371148277,42.430320959383,141.91672963788733,88.57126760091633,115.88287004283629,98.03614587498258,100.73457533328427,94.6545068823325
2007,91.77662033261731,275.8152940149626,43.870348348204665,165.44379680324346,91.05351293501444,129.95324111155932,104.82685564053546,106.8089200501241,103.55819022648211
2008,104.90055555086583,301.7882066176385,51.57013852739086,176.7237805032637,108.16951578399167,139.72882854912896,115.7962076033488,118.34567093627746,114.3231618851889
2009,127.20786150605417,340.30311925846337,64.07059915883777,231.335435534711,123.43918930292129,171.2751480551611,129.88541476874735,133.38131216570966,132.69138002727195
2010,135.67428506202995,364.62453840616615,69.2613364259402,264.33178319386207,124.05905499095097,184.33914106958545,137.56582971938676,142.88060426158444,140.36623764509278
2011,155.58189026569016,397.1587160840363,88.88358859104726,294.1403688307619,140.17747984444722,214.71274100295267,149.62742290362687,150.35667196229258,155.42621026709384
2012,177.43118927825708,420.1672752239099,122.2706968037722,333.58923075941857,148.06426817048342,223.24389126275202,153.2329631708337,160.5583287000689,160.7683738020165
2013,192.32443014376332,469.41668483903953,132.03647410590202,369.8784711410408,157.4755873675691,256.3952741008892,169.69261290191676,177.51849749743533,178.54159066477587
2014,204.22351655428648,496.6001972658603,138.61584303407776,371.99881601455854,176.47800088230287,270.40016471951384,184.3237781552673,188.85723323561746,189.8943290214229
2015,214.3677585066136,524.0893269705385,150.58548305349055,392.991883114737,181.18747393523807,287.28855207008166,191.98110757092522,202.70946175827456,201.36138532421646
2016,234.68497648906197,551.0398184070543,167.3340045697211,431.69967300002463,196.2896810362814,307.3180805743497,200.9044944223485,212.8331786358591,211.582128226848
2017,218.0411989974673,580.1581031950396,151.95028879904808,387.8961006718455,189.75378444676753,316.84570731901914,218.93118757366685,224.8924234876387,226.06373732749344
2018,245.8973632526162,626.270805502397,160.36393967550248,448.381396228855,216.2238042083889,352.52604125422874,226.66388754546549,243.16702204068721,241.6398976552984
2019,277.82922837390214,696.3924054723071,185.77022308584614,498.18267845292576,244.9232515151263,415.4756055294303,256.94906848606433,272.44148812837034,274.1531925221934
