year,treated_total,rest_of_world_total,CW_total,GO_total,GC_total,MENA_total,cem1_total,cem2_total,cem3_total
2002,150.19882496064528,600.7006415086988,41.94111563513676,283.66753081884235,161.76596821267157,193.49470767909662,112.06312024172004,128.34560660287698,133.1878051830863
2003,151.75681901192291,615.2317789541238,46.48098755006989,312.36516777519137,150.67897838372738,221.73836711952464,118.1493097672975,134.62846116437774,140.00276583859812
2004,161.05299263652415,655.3106759547738,48.511169351016484,296.6491561355069,174.33962120823563,250.64208165458405,128.616435384498,143.1495147289292,157.2969036778086
2005,167.3484899033443,726.6960522796674,53.7642004363006,329.1417057258077,170.78177725458517,274.0037231516908,141.716156612049,154.87534097282642,173.5763312451687
2006,193.89433165821248,844.8974094197793,63.09391613149395,379.68107278784737,198.0598845223896,347.467599886423,171.70102739818543,185.7908299853629,210.99810071067768
2007,218.87385810154956,939.9074484918387,62.14279685580792,476.95984983770177,209.67809815453364,424.92994804057525,183.73519081222042,196.2284943400585,239.94192533755268
2008,254.70273358495905,1033.0427467522177,75.11050395605464,531.9586091930978,251.5557211190462,486.4724639325635,216.89994491960837,228.79597893563852,285.95967948313336
2009,307.6787165327463,1167.2121923712405,96.38762309984304,700.155914411298,277.46249344106764,578.0562687379715,261.30151286423995,265.3994764794083,344.91806521244433
2010,332.5955946424976,1245.1546489274872,115.88895401544869,809.0053047465626,272.0556949771009,647.9882173439255,275.596631611427,280.0350056768895,370.3336164980166
2011,382.4019525236916,1374.609360309654,122.19205981423147,932.5782371991081,318.457374279201,820.2043549970258,316.7825813502554,307.65095199544743,445.35273798902927
2012,431.6532789693447,1479.9389624372086,161.39854858148223,1060.9823343743337,342.07449504006655,907.9077412084793,342.6512862389697,336.7895075331019,487.8300152862099
2013,458.67255665920675,1650.2217306498853,182.94760765492296,1131.4954921021126,354.97835188461465,984.7897434876243,389.957561044305,380.31367560468016,542.9700088075435
2014,471.41473869105687,1756.4048656648645,182.8442189253013,1119.4585572795477,385.3395231151138,1075.1438316084036,417.45373836426336,412.29712095836976,582.5526408820181
2015,493.6885968701172,1848.4540567557922,190.68735849929604,1178.3709185996559,401.6164112007944,1108.6798909524673,438.3706298215111,446.2261341422136,612.9923239893764
2016,549.8353775380762,1969.3488587614452,213.01489282259718,1316.0091486928286,445.45815990546254,1253.295021042641,474.9073967662524,491.2013371499064,682.5675153105446
2017,517.1622118339641,2063.2925311167546,190.94606458153189,1176.9751724708476,448.96671593067003,1296.0123567281291,509.67148549589626,536.0254581744772,711.1677865419937
2018,591.1243756276839,2252.397296294216,200.6619627366308,1394.2951514585875,504.1335130299543,1456.4763924377526,571.038513063684,615.3549486401663,785.006269019708
2019,694.3482664374344,2560.0033308957727,229.69139724610918,1600.8783130238298,610.5303693176713,1741.3902650473756,692.0107860121511,771.1459489380321,941.8346703369971
