id,Mention_country,treated,log_count,log_gdp,log_population,log_Rpop,pretrend_slope,log_count_bin,log_gdp_bin,log_population_bin,log_Rpop_bin,pretrend_slope_bin,stratum,n_control,n_treated,cem_w
1,ago,0.0,3.9053947704275367,7.644569000462545,16.82068897514336,4.042116586873045,0.11237326218104175,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
8,aze,0.0,3.384404251712729,7.7347835586496085,15.960654553372953,7.1284702068994,0.18750019551071997,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, inf]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]",3,1,0.3333333333333333
14,bgr,0.0,4.384484159156717,8.403018943310949,15.844465412119389,8.79147002922755,0.09552895787823418,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
15,bhr,1.0,2.536542053837655,9.795385391069066,13.776355447567425,6.0240066814582285,0.16377401781388365,"(-inf, -1.5]","(0.75, 1.5]","(-inf, -1.5]","(-0.75, 0.75]","(1.5, inf]","(-inf, -1.5]|(0.75, 1.5]|(-inf, -1.5]",1,1,1.0
17,blr,0.0,3.471055636017033,8.1551692936356,16.081097953456418,8.16069481536319,0.03603041949896524,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-inf, -1.5]","(-1.5, -0.75]|(-0.75, 0.75]|(-0.75, 0.75]",3,1,0.3333333333333333
18,bol,0.0,5.042662898095916,7.123500705362346,16.071172701178625,5.927856498976094,0.08119034774804612,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
27,cmr,0.0,4.985844882572409,7.072261856572289,16.692953480638792,7.343470037969175,0.05755494568175157,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
28,col,0.0,5.121725592701103,8.252845511534025,17.569441702211567,8.73560659071726,0.09462120757644282,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(0.75, 1.5]",5,1,0.2
29,cri,0.0,5.3702798281481385,8.596172973899222,15.291002036316318,6.834388939254289,0.056079314385527206,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
30,cub,0.0,4.4875458741890135,8.325714027449518,16.23559029639605,8.798118153718248,0.09589414445944702,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
36,dom,0.0,3.9089758082409762,8.258031811893105,16.043229169061988,4.502837933683031,0.10715294343165793,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
37,dza,0.0,4.415917544726123,8.078405797283775,17.32852007191555,8.476808041239023,0.0977687695407514,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
38,ecu,0.0,5.121197586971854,8.094499453019532,16.454909123968775,6.470165942372538,0.09005450748938307,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
39,egy,1.0,5.4299898925251515,7.291950926953074,18.20508189988967,9.59981945359839,0.0879462799289244,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(0.75, 1.5]",5,1,1.0
51,gtm,0.0,4.545612111455886,7.70754462578699,16.39508754139767,5.307552907910685,0.08480427092963236,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
53,hnd,0.0,3.9824254403964545,7.263914616313654,15.860256535330599,4.389513667544522,0.07479720189191427,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",21,4,0.19047619047619047
55,hti,0.0,3.549276714633709,6.763527058013922,16.04085143496323,4.314644670789741,0.1642884524324097,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(1.5, inf]","(-1.5, -0.75]|(-1.5, -0.75]|(-0.75, 0.75]",8,1,0.125
