id,Mention_country,treated,log_count,log_gdp,log_population,log_Rpop,pretrend_slope,log_count_bin,log_gdp_bin,log_population_bin,log_Rpop_bin,pretrend_slope_bin,stratum,n_control,n_treated,cem_w
1,ago,0.0,3.9735151423383357,7.644569000462545,16.82068897514336,4.042116586873045,0.11244509209858962,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",5,1,0.2
14,bgr,0.0,5.3511493492470645,8.403018943310949,15.844465412119389,8.79147002922755,0.10375191951129825,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
15,bhr,1.0,3.7376812237817827,9.795385391069066,13.776355447567425,6.0240066814582285,0.11782959375566035,"(-1.5, -0.75]","(0.75, 1.5]","(-3.0, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-3.0, -1.5]|(-0.75, 0.75]|(0.75, 1.5]",1,1,1.0
18,bol,0.0,5.217672983645297,7.123500705362346,16.071172701178625,5.927856498976094,0.08295411761695581,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
27,cmr,0.0,5.565536015749765,7.072261856572289,16.692953480638792,7.343470037969175,0.06958810114870906,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
29,cri,0.0,5.692214847952354,8.596172973899222,15.291002036316318,6.834388939254289,0.05892943768003356,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
30,cub,0.0,5.465812010547167,8.325714027449518,16.23559029639605,8.798118153718248,0.12123214519571862,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
36,dom,0.0,4.008185920808947,8.258031811893105,16.043229169061988,4.502837933683031,0.10711751947285475,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",5,1,0.2
37,dza,0.0,5.095346088827408,8.078405797283775,17.32852007191555,8.476808041239023,0.13716290279282567,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
38,ecu,0.0,5.331121277755406,8.094499453019532,16.454909123968775,6.470165942372538,0.09298356226491711,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
39,egy,1.0,6.311877627465427,7.291950926953074,18.20508189988967,9.59981945359839,0.11381010730488726,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(0.75, 1.5]|(-0.75, 0.75]",1,1,1.0
53,hnd,0.0,4.069831277223407,7.263914616313654,15.860256535330599,4.389513667544522,0.07801442380182277,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",5,1,0.2
55,hti,0.0,3.691915242840964,6.763527058013922,16.04085143496323,4.314644670789741,0.1559203848852031,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(0.75, 1.5]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,0.16666666666666666
60,irq,0.0,5.3271397506477385,7.69503113535478,17.17083342040345,6.5784217422326305,0.21990449573944007,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, 3.0]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
64,jor,1.0,5.8164524904362995,7.853560287887881,15.616642755321115,7.923126830482401,0.10302215823471778,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,1.0
66,kaz,0.0,4.712133576664022,8.408166223679501,16.551612535462795,7.01940342524649,0.05536527430870716,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
68,kgz,0.0,3.6357069233423425,6.36172432832762,15.466723565778445,5.095713745337686,0.17609761854456,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(1.5, 3.0]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,0.16666666666666666
71,kwt,1.0,5.125828905235595,10.447912889146854,14.692433227682828,7.570919755098681,0.06489182289257978,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(0.75, 1.5]",2,2,1.0
72,lao,0.0,3.8738325479215328,6.373288797760662,15.598946776396973,5.225325098184561,0.17637804280555863,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(1.5, 3.0]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,0.16666666666666666
73,lbn,0.0,4.9279933242218785,8.573653625048992,15.367793466851143,7.624733316596075,0.1221995243350798,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
75,lby,1.0,3.9218058703844414,8.997379462847766,15.598555273427074,5.678414434935771,0.15002578812785483,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(0.75, 1.5]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",5,1,1.0
76,lka,0.0,5.425256961656641,7.285100922598657,16.805147666655003,7.200225832923942,0.10875571925470656,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
80,mar,1.0,5.747054601974817,7.799410771402502,17.244047337200314,8.670477458252376,0.062485158801666114,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,1.0
92,mys,0.0,6.446858004514049,8.717163364870464,17.09039809806032,9.279682167043546,0.20000060894466937,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, 3.0]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
94,ner,0.0,3.4932744744891218,5.8415455993555705,16.481306333524362,5.126378028942366,0.09526823766630446,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,0.16666666666666666
101,omn,1.0,5.040708141074887,9.54409520167347,14.761660406318745,6.942187003657731,0.0783677123929877,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(0.75, 1.5]",2,2,1.0
104,per,0.0,6.005692703671983,8.041698761505522,17.159421765184163,7.557538495392898,0.09722148699524402,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
107,pri,0.0,5.218637013970536,10.026878704071688,15.147797891345375,7.282063183392769,0.08683419943360188,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(0.75, 1.5]",2,2,1.0
109,pry,0.0,3.979685245860384,7.836465871231013,15.525399410089417,5.032296319666057,0.0942028497534814,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",5,1,0.2
112,rou,0.0,5.532097550128526,8.57565572683673,16.861344980473348,9.447449466496996,0.20701331082002714,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, 3.0]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
114,rwa,0.0,3.940155287610324,5.921898289618394,16.043061875827,4.685366830026602,0.21862283402394497,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(1.5, 3.0]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,0.16666666666666666
116,sen,0.0,5.07269651875995,6.964117345669364,16.238194936519758,7.027595944124795,0.05769468593628013,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
119,slv,0.0,3.666303410202001,7.852829703248283,15.615803170088848,4.526859031533715,0.039110719305865876,"(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-1.5, -0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]",5,1,0.2
122,svn,0.0,5.488379589326072,9.879202937952087,14.515386489479669,8.814321433414971,0.12130319185591008,"(-0.75, 0.75]","(0.75, 1.5]","(-1.5, -0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-1.5, -0.75]|(-0.75, 0.75]|(0.75, 1.5]",2,2,1.0
124,syr,1.0,4.391590815247603,8.959962729557288,16.791303680593153,6.194762702247958,0.10935292501132018,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,1.0
126,tgo,0.0,3.3824153789868396,6.2170805642790805,15.587822601597999,5.43237475032856,0.1341814442631182,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,0.16666666666666666
130,tto,0.0,3.4814449461791415,9.40392706008139,14.13553387272524,6.33703524215958,0.08900781569931718,"(-1.5, -0.75]","(0.75, 1.5]","(-3.0, -1.5]","(-0.75, 0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-3.0, -1.5]|(-0.75, 0.75]|(0.75, 1.5]",1,1,1.0
131,tun,1.0,5.7081307807254085,8.110634709046764,16.165453753849526,9.013219121295,0.17732804598973356,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(1.5, 3.0]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,1.0
135,ukr,0.0,5.22341437651606,7.631224832267012,17.663281898846186,9.655312910770197,0.07782972446924741,"(-0.75, 0.75]","(-0.75, 0.75]","(0.75, 1.5]","(0.75, 1.5]","(-0.75, 0.75]","(-0.75, 0.75]|(0.75, 1.5]|(0.75, 1.5]|(-0.75, 0.75]",1,1,1.0
139,ven,0.0,5.97706482809242,8.814736538563851,17.11304376685811,8.665233765664127,0.09141889408949272,"(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]","(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]|(-0.75, 0.75]",16,4,0.25
141,yem,1.0,4.114452720176446,6.733423307620998,16.906847258839697,5.404255150043217,0.10902522540144746,"(-1.5, -0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]","(-0.75, 0.75]","(-1.5, -0.75]|(-0.75, 0.75]|(-1.5, -0.75]|(-1.5, -0.75]",6,1,1.0
