number_of_publications,latest_affiliation_country,dist
5,mex,2385
27,che,205
6,nga,1030
2,tza,1029
18,can,1014
1,kor,23989
40,idn,10
66,aut,24
11,col,246
709,deu,1
38,dnk,87
202,usa,61
100,esp,40
41,hkg,31
74,kor,94
9,irn,1465
8,pse,24
82,are,1
52,aut,38
1,civ,585
18,twn,418
139,gbr,30
23,mlt,4
4,bfa,168
11,kaz,33
1,guy,127
119,gbr,44
7,che,1146
16,hrv,181
63,nor,37
14,can,1399
28,bel,152
81,irl,10
58,rus,43
43,bra,268
178,fin,4
9,hkg,377
25,twn,261
320,nld,4
7,twn,1327
59,esp,172
19,prt,242
89,gbr,102
46,kor,186
5,pyf,15
44,hrv,17
27,nzl,95
41,chl,23
10,mar,169
2,gmb,100
6,dom,8
24,nga,77
15,mmr,2
3,tun,942
13,usa,11284
5,hrv,672
18,rus,456
2,can,14862
28,deu,716
15,nld,895
21,cyp,13
18,pri,12
45,yem,1
49,deu,345
23,pol,332
233,irn,1
39,bra,342
44,rus,83
142,can,28
117,fin,3
96,ken,1
16,sgp,144
29,ltu,22
24,mys,120
36,pol,170
223,deu,14
131,pol,2
4,lbn,225
5,blr,64
3,ner,79
31,fji,1
38,hun,29
45,che,85
151,fra,21
160,jpn,41
4,tha,1718
2,tha,4278
36,usa,2563
6,pse,29
28,grc,122
20,col,77
7,vnm,186
24,can,691
103,arg,5
6,dnk,1040
35,npl,6
67,zaf,21
2,lbn,571
52,esp,193
78,aus,88
58,kor,149
1,geo,878
125,ind,15
4,irl,1020
61,fin,33
82,aut,16
5,mwi,103
13,dza,53
2,mng,282
2,ner,173
25,per,10
29,bmu,1
21,bgd,33
128,chn,57
3,ben,157
200,usa,48
24,bfa,12
24,bra,868
2,tto,169
11,rus,1071
7,tun,364
43,deu,412
17,tha,215
43,pol,113
3,civ,175
86,usa,456
91,ita,89
61,ukr,3
304,ita,3
76,kor,110
50,gbr,332
176,rus,3
205,usa,57
33,twn,200
11,twn,822
83,lbr,1
9,bgr,159
4,isl,150
98,chn,161
12,vnm,75
116,gbr,54
102,esp,37
71,che,52
3,prt,1901
23,tur,688
93,tha,6
5,jpn,7174
44,gbr,376
68,fra,160
102,bel,13
13,nga,266
28,hrv,72
99,bra,43
202,can,12
54,can,195
220,usa,55
49,ind,160
5,egy,1188
9,chl,439
283,jpn,3
174,usa,80
102,kor,41
109,chn,131
67,nor,30
100,chn,151
80,rou,3
3,mlt,91
