number_of_publications,latest_affiliation_country,dist
12,ind,1880
6,tur,2598
66,can,79
3,egy,1945
54,pol,29
37,bra,303
26,aus,506
34,tur,186
60,nzl,7
27,can,411
26,kor,454
6,omn,82
80,can,50
91,irl,6
92,gbr,31
106,kor,28
49,tur,47
35,irn,129
31,mys,58
1,gab,336
42,irn,81
33,fin,67
4,qat,154
68,rus,12
10,tto,16
4,npl,293
231,nld,6
125,esp,16
322,esp,1
2,nor,2780
5,bra,8030
3,chl,1871
6,mar,305
6,aus,3893
18,zaf,180
22,aut,132
64,nld,57
17,fin,206
60,esp,87
86,bra,33
28,nor,106
130,mex,2
11,chl,296
28,dnk,95
24,sau,41
224,fin,1
57,swe,39
74,jpn,68
33,kor,287
19,nor,205
5,twn,1941
50,cze,19
13,hkg,190
20,bel,215
102,chn,92
58,arg,10
2,nic,90
6,syc,8
13,svn,88
3,grc,1718
4,usa,39233
4,mex,2744
16,fin,235
7,ken,252
71,fra,87
12,aut,334
4,cyp,125
42,col,8
92,kor,26
34,dnk,69
63,fra,113
180,can,5
106,chn,96
21,nga,57
33,che,120
110,ita,18
163,zaf,2
105,chn,73
190,usa,21
3,gbr,17491
2,sgp,1848
14,jpn,2183
7,bgr,203
1,ner,375
132,usa,80
61,bra,68
232,dnk,2
60,can,88
36,gbr,369
52,cze,22
17,bel,251
43,svn,6
10,bwa,20
17,nga,100
73,fin,16
3,gin,54
7,gbr,6468
28,fin,90
16,gha,24
254,aus,2
58,usa,581
5,sdn,50
37,zaf,31
43,rou,11
9,alb,19
56,kor,108
106,twn,6
26,ecu,9
11,est,77
2,pse,152
22,zwe,10
3,ecu,395
147,jpn,12
15,bgr,72
58,dnk,27
2,usa,77863
2,hun,1782
12,jpn,2686
4,ita,7339
16,chl,154
36,deu,372
6,isr,730
6,per,202
35,hun,16
51,tur,63
165,fin,2
42,swe,80
132,can,14
33,irl,32
112,deu,25
101,gbr,25
31,gbr,539
196,gbr,2
47,mys,20
31,twn,168
24,geo,4
10,svk,180
43,kor,165
19,tza,20
206,usa,22
65,svn,2
16,ita,1535
30,esp,400
6,fin,864
41,usa,1355
16,aus,1054
41,pak,33
7,nzl,641
16,isr,189
35,aus,265
11,fin,430
230,chl,1
81,can,31
16,gtm,3
139,chn,31
124,usa,86
124,twn,16
46,vnm,2
88,aus,25
23,irn,307
133,ita,9
46,grc,25
82,chn,136
90,usa,193
5,slb,6
4,mrt,13
38,bel,72
2,ita,13710
13,tha,253
50,usa,857
30,usa,2404
12,fra,1747
10,aus,2098
35,isr,58
63,swe,26
8,rus,1495
13,ita,2117
3,hkg,1219
20,twn,330
31,grc,65
39,cze,38
83,ind,14
60,gbr,119
1,msr,3
186,chn,14
50,swe,46
18,pak,161
18,fra,1064
18,pol,402
6,swe,1615
38,fra,287
3,aze,81
23,fin,115
97,fin,7
62,deu,134
425,gbr,1
33,cze,72
1,col,12623
149,usa,60
31,svn,9
9,bih,39
3,tca,3
47,chn,577
65,grc,7
165,can,7
66,pak,10
6,cmr,136
13,irq,13
7,lby,7
29,uga,6
48,bel,55
85,can,33
69,dnk,19
1,bel,5666
12,aus,1608
2,uga,900
15,sen,23
7,irl,446
24,bel,119
8,uga,110
10,bel,553
2,yem,124
68,can,82
8,nor,666
31,fin,68
125,swe,2
55,jpn,176
83,ita,50
66,jpn,129
91,pol,5
12,twn,588
28,chn,1766
36,kor,248
6,kaz,193
28,lux,3
50,mys,22
16,egy,151
78,hun,3
16,jor,22
31,irn,162
11,bel,504
29,nld,227
72,usa,339
30,deu,511
57,tza,4
11,zaf,428
23,zaf,99
31,aus,303
54,twn,59
66,bra,65
86,jpn,64
22,fin,108
10,chl,336
252,deu,3
13,ken,66
30,qat,3
30,irn,186
104,sau,3
3,,8824
36,nld,137
76,ita,54
31,bra,377
20,chl,100
18,lka,11
35,bra,310
19,kor,665
115,fra,30
8,bgr,170
20,nga,57
39,bgd,4
