number_of_publications,latest_affiliation_country,dist
71,deu,15
6,tun,410
46,gbr,20
7,tur,69
20,tun,67
5,nld,60
15,nor,5
5,gbr,213
17,prt,19
12,chl,3
20,dnk,5
2,are,89
35,mex,1
100,ita,4
10,lby,4
54,kor,4
52,usa,27
14,pol,10
602,sau,1
52,fra,28
55,fra,20
56,pol,1
72,irn,2
18,tun,95
4,irn,85
1,mar,2609
26,ita,63
8,egy,488
77,fra,11
20,ind,19
34,chn,6
11,sau,39
27,gbr,49
24,che,16
21,jor,20
8,per,2
47,grc,2
54,usa,33
32,eth,1
9,kwt,44
48,rou,1
20,mar,36
9,can,32
50,che,5
3,pak,23
42,sau,7
25,can,19
11,mar,144
3,jpn,66
25,tun,46
56,usa,21
11,deu,81
22,,6
48,usa,38
5,are,37
14,gbr,81
55,bra,3
12,mar,108
3,can,104
36,aut,6
2,jor,771
57,pak,4
7,,54
28,ita,56
1,aus,363
5,arg,11
1,cyp,23
46,usa,36
96,fra,4
25,gbr,46
33,rus,6
15,dnk,9
42,esp,21
5,fra,268
46,ind,9
99,dza,1
6,nzl,7
2,prt,43
19,sau,12
5,can,81
3,aut,43
64,jpn,4
13,ind,21
30,brn,1
14,ita,73
172,pak,1
1,cmr,9
10,deu,86
1,lby,426
23,prt,8
3,ita,179
35,gbr,38
41,swe,9
30,tun,22
37,tun,14
12,tun,139
29,esp,38
4,omn,146
11,can,28
14,tur,27
15,ind,18
15,chn,27
10,cze,13
2,cyp,19
18,isr,25
14,fin,7
106,deu,5
21,fra,90
4,are,41
9,fra,177
51,bra,4
13,chn,21
3,sau,146
6,bhr,17
189,pak,1
29,fra,66
44,ita,20
8,sau,68
7,are,33
7,usa,364
13,bra,13
2,omn,371
24,zaf,6
3,chn,88
14,esp,82
12,nld,29
127,chn,1
53,can,8
1,mex,66
45,nga,1
14,bra,9
8,irn,29
4,deu,204
25,pol,7
34,ita,33
8,usa,306
33,egy,15
23,srb,3
9,grc,15
3,usa,696
16,gbr,73
37,sau,13
20,gtm,1
4,bhr,68
32,aut,2
4,lby,28
5,isr,79
28,esp,34
36,ita,37
14,irn,27
71,esp,5
1,omn,1301
41,gbr,31
12,gbr,98
6,can,61
2,bhr,171
24,irn,15
27,esp,33
3,irn,108
13,irn,20
25,cze,4
2,dnk,32
1,swe,58
21,kwt,7
31,omn,4
90,fra,6
17,usa,156
10,ind,29
96,egy,1
10,srb,5
21,usa,129
10,fra,175
56,jpn,6
13,esp,104
11,ita,100
78,fra,10
33,can,19
13,aus,25
136,chn,3
4,ind,70
18,jpn,20
14,dza,9
17,rus,13
12,ita,100
39,gbr,19
8,fra,189
19,pol,7
26,tur,17
13,sau,41
24,aus,10
16,cze,9
60,deu,13
25,che,17
2,mys,102
91,chn,6
10,eth,11
12,egy,260
150,fra,4
6,chn,52
28,swe,11
22,esp,64
9,irn,45
5,mex,27
11,col,1
14,can,33
10,mar,130
180,deu,1
7,che,21
7,twn,9
28,bel,10
3,tun,785
2,can,124
13,usa,189
4,lbn,30
15,nld,25
28,deu,42
39,egy,7
24,can,11
36,usa,67
25,per,1
2,lbn,66
7,tun,334
11,rus,12
10,kwt,31
24,bra,9
43,pol,4
,,16513
104,aut,2
5,egy,937
3,prt,38
100,chn,3
5,jpn,39
49,ind,5
13,nld,18
46,cze,4
50,tun,8
8,tun,274
1,can,243
26,swe,11
3,fra,364
44,tur,8
3,ind,69
6,,69
14,syr,6
99,nor,1
5,jor,221
53,usa,30
35,esp,27
8,pol,20
15,can,31
16,deu,66
64,aut,2
61,chn,2
1,jpn,143
217,ita,1
15,bhr,8
14,ind,36
59,deu,18
7,ita,140
1,are,181
7,nld,37
41,phl,1
49,mar,5
52,ita,16
1,pol,95
3,dnk,23
23,fra,81
1,deu,693
17,ind,20
68,ita,10
4,hrv,7
27,mys,7
2,lby,92
25,tha,2
9,are,22
52,rus,1
6,gbr,188
263,twn,1
9,egy,437
20,jor,22
5,mys,49
21,mar,37
54,ita,15
13,rus,13
32,esp,39
14,sau,37
52,twn,1
58,zaf,1
1,rus,108
22,bgd,4
2,qat,34
4,mar,527
2,fra,511
35,bfa,2
82,aus,5
3,kwt,204
18,deu,41
8,can,50
231,deu,2
22,chn,24
40,chn,10
13,qat,9
5,esp,139
27,fra,66
5,tur,76
29,jor,5
11,nld,20
16,kaz,1
17,,9
7,swe,16
56,fra,17
86,deu,7
44,dnk,5
28,usa,89
17,gbr,72
1,pry,3
16,aut,5
125,usa,6
56,qat,1
7,irn,66
4,fra,304
148,deu,3
39,usa,51
14,tun,131
1,tgo,5
11,bra,20
8,cyp,2
3,lby,55
44,usa,49
49,fra,20
36,tun,19
4,nld,69
31,bgd,1
22,lva,1
5,deu,153
20,prt,11
5,per,1
3,mex,32
3,yem,45
8,nga,9
12,slv,2
3,nor,22
15,esp,85
17,fra,118
42,fra,29
2,pak,32
5,,58
19,usa,144
15,ita,82
99,bel,3
58,isr,4
24,tun,37
147,usa,1
2,mac,7
1,,1078
7,jor,143
33,ind,9
15,egy,152
21,egy,52
30,ita,39
26,che,13
26,usa,94
28,jpn,15
22,ind,13
3,bra,39
40,aus,12
9,ita,120
5,kwt,87
21,deu,37
15,deu,51
18,tur,31
43,gbr,15
8,ind,33
24,usa,98
21,chn,19
16,pol,15
19,deu,54
143,aut,1
31,mar,10
1,ita,411
107,chn,3
3,npl,4
3,lbn,39
47,prt,8
17,tur,32
8,bra,22
65,deu,9
27,irn,19
51,mex,2
38,ind,7
6,jpn,40
32,mys,8
78,bel,5
110,usa,7
6,ita,124
56,zaf,4
4,egy,1272
20,egy,72
4,esp,189
186,esp,2
2,ind,118
31,fra,53
10,dnk,5
7,bhr,22
1,sau,360
4,tun,621
33,ita,45
129,aus,1
204,gbr,4
1,aut,56
61,prt,5
8,qat,13
21,aus,13
24,deu,56
1,hun,26
125,gbr,3
43,nzl,4
16,jpn,30
75,deu,6
3,tur,98
22,usa,137
96,irn,1
68,aus,6
11,mys,26
168,tun,1
122,deu,5
12,deu,81
5,tun,481
81,mar,2
6,twn,1
9,chn,39
3,mar,711
9,omn,38
1,gbr,844
11,tun,183
35,usa,69
31,cyp,3
9,zaf,15
11,isr,32
5,nor,17
18,usa,150
5,chn,53
4,tur,79
124,nld,2
20,usa,122
21,isr,14
56,sau,5
20,chn,22
33,sau,17
2,aus,167
15,zaf,15
15,nzl,4
18,jor,14
635,chn,1
5,usa,460
23,usa,131
78,nzl,1
94,ita,6
12,can,24
17,esp,79
5,cze,25
80,esp,6
22,tun,58
2,bgd,6
36,fra,45
46,pak,5
10,sau,71
7,idn,2
