number_of_publications,latest_affiliation_country,dist
4,ury,162
7,egy,453
10,aut,491
43,mex,11
19,cze,168
25,mco,1
21,tur,482
89,deu,31
30,aus,207
59,fin,18
32,che,88
6,brb,8
72,nld,29
62,ita,77
3,bwa,78
50,chn,179
35,dnk,51
89,jpn,42
64,bel,18
1,png,280
2,cze,5199
72,ita,43
22,kor,413
47,aus,71
25,nzl,44
40,esp,135
25,egy,15
21,mys,36
80,fra,21
11,,1035
2,che,9402
7,chn,13293
20,fra,1009
19,rus,316
13,hrv,169
26,bra,265
112,che,4
27,twn,141
69,jpn,90
15,cub,29
35,,33
3,rus,9929
1,mdg,564
7,pol,1925
9,tha,338
16,bra,828
3,gha,216
1,nam,206
6,zaf,666
9,pak,233
11,cze,420
18,nzl,120
51,can,73
54,dnk,9
104,usa,91
40,nld,66
23,twn,228
119,usa,62
18,mar,31
41,bra,96
7,lbn,61
74,ita,38
36,sau,6
4,che,3371
3,nga,1489
8,gbr,6086
24,esp,504
7,cmr,46
8,bel,984
13,isr,321
17,svk,68
43,isr,19
73,fra,34
47,fin,22
44,kor,108
9,kor,1898
8,bol,17
115,usa,56
139,esp,2
77,chn,55
4,per,205
28,col,6
5,lux,45
8,civ,37
1,brn,157
20,ltu,14
21,est,16
18,svk,43
1,esp,88426
1,jor,2884
7,esp,4608
4,jpn,23606
2,kor,22763
7,aut,815
14,are,18
4,mys,888
16,arg,181
6,mwi,23
19,mar,28
62,rus,6
5,syr,22
26,irn,76
46,isr,18
50,ita,107
55,ita,83
18,sgp,69
18,chl,52
31,chl,10
72,fra,35
28,che,119
326,usa,2
73,ita,39
3,omn,147
2,grc,6324
1,nga,11089
4,nor,1788
9,che,1001
1,mng,492
1,lux,452
14,che,466
3,sdn,123
33,aut,52
14,sen,9
12,hkg,190
40,swe,58
55,chn,137
43,ind,69
14,jam,4
1,kaz,756
11,fra,2920
6,aze,39
31,dnk,85
1,npl,1739
22,hun,68
22,irn,113
3,idn,461
15,prt,191
6,sau,240
4,sgp,1033
18,srb,64
37,bgr,6
107,gbr,8
67,tha,5
73,can,35
41,can,168
8,kaz,13
59,cze,13
14,chn,3457
69,twn,26
12,jor,36
8,mys,209
64,chn,85
5,grc,1652
1,isr,17511
2,tur,12337
29,usa,2515
90,deu,22
37,rus,55
46,can,107
66,fra,41
1,gnq,43
3,png,38
60,che,16
5,ant,4
57,kor,57
2,,45829
13,fra,2234
7,hrv,409
9,phl,33
8,sen,30
87,fra,16
58,can,66
4,pak,1106
27,nor,73
20,arg,109
10,tgo,5
11,jor,41
168,bel,1
7,ltu,166
1,fra,84087
3,bel,3858
7,mar,157
19,ind,506
32,usa,2034
25,grc,86
33,arg,30
7,kaz,21
31,isr,69
74,usa,250
55,ind,35
11,pri,22
26,twn,167
16,irl,105
12,omn,12
31,irl,24
2,esp,31789
12,cze,359
17,cze,208
25,deu,731
49,esp,79
78,usa,201
46,dnk,22
49,chn,171
54,bra,41
2,ecu,233
11,sgp,216
66,aus,38
6,esp,5804
8,grc,750
18,swe,336
22,tur,391
8,tza,50
30,dnk,85
26,grc,95
12,prt,277
3,sen,167
48,can,108
11,irl,218
46,mda,2
38,aut,41
38,che,71
36,chn,474
15,irn,222
13,mys,102
99,fra,13
26,ltu,4
113,sgp,1
7,deu,6251
1,nzl,10713
4,swe,4161
7,prt,713
19,esp,762
15,jpn,2905
65,usa,337
29,mys,13
25,mex,61
40,jpn,395
33,jpn,599
73,gbr,33
142,jpn,17
78,jpn,72
69,kor,29
56,chn,131
9,mar,108
38,irn,28
2,alb,107
22,twn,206
6,qat,17
3,ltu,649
1,nld,35332
13,hun,184
11,tha,244
20,esp,677
14,ury,21
21,nzl,86
66,deu,78
14,zaf,146
5,pri,106
15,sau,47
13,lbn,15
12,mys,102
83,usa,162
106,usa,75
42,chn,308
68,usa,274
9,cmr,27
88,esp,14
58,chn,127
7,uzb,21
29,grc,81
1,and,43
33,hun,24
8,mex,777
13,mex,300
5,nga,691
23,mex,83
20,jpn,1715
15,mar,44
24,cze,106
69,esp,27
31,gha,3
30,jpn,754
31,che,96
13,mtq,3
8,mda,4
1,tjk,114
40,cyp,2
7,isr,941
7,bra,3614
11,swe,844
2,blr,625
18,che,270
9,bwa,11
65,ita,53
54,fra,95
112,usa,72
19,mda,2
53,fra,101
30,chn,652
29,twn,139
7,npl,60
56,gbr,92
102,deu,19
1,bra,106008
1,ind,100765
4,ltu,414
2,tun,2139
7,mlt,6
7,grc,916
5,cub,395
26,deu,720
15,fro,1
23,swe,213
20,blr,4
38,pol,66
34,nor,41
61,usa,416
160,nld,2
38,mys,8
53,chn,143
45,chn,232
24,arg,62
19,egy,37
6,jor,108
61,kor,49
2,dom,29
5,eth,80
76,,2
3,nzl,2013
5,mar,295
1,tun,6351
9,sgp,280
7,jpn,10072
27,rus,121
33,hrv,15
28,prt,41
17,bih,8
21,cze,136
11,pse,5
17,hkg,86
35,sau,7
35,nzl,28
3,mwi,92
22,egy,24
58,fra,72
89,esp,13
62,esp,41
8,idn,55
1,per,2905
7,ven,189
13,tun,108
12,irn,371
15,che,413
12,nor,360
39,hrv,9
7,uga,51
55,tur,31
57,can,57
71,grc,5
28,zaf,36
24,kor,357
27,hun,41
24,col,10
11,mtq,4
208,chn,4
112,twn,6
2,pol,11138
2,mmr,61
2,mdg,177
11,esp,2207
12,isr,401
5,geo,79
20,kor,497
42,ita,161
5,bhr,11
92,ita,10
42,aus,100
86,twn,10
67,che,20
4,,10636
1,aze,1511
1,dza,2909
17,aus,693
6,ury,82
4,uzb,97
30,rus,89
18,irl,96
51,esp,75
52,jpn,207
112,esp,7
75,twn,14
4,mne,15
93,chn,28
75,gbr,42
5,omn,63
74,chn,55
30,cze,52
2,mar,1392
3,fin,2823
1,gha,1335
11,mex,413
5,gha,90
5,chl,724
34,fra,303
45,fra,145
17,dnk,233
15,pse,3
61,arg,3
31,jpn,699
4,brb,13
44,ind,48
79,fra,30
33,chn,495
23,irl,44
56,ita,62
1,bgr,3950
3,srb,1128
26,can,382
21,zaf,57
28,jor,2
11,irn,432
43,kwt,4
23,cze,104
25,pak,24
48,nor,15
4,lva,112
44,npl,1
51,irl,11
143,usa,33
123,aus,8
45,bel,50
43,rus,36
35,ind,102
13,,685
1,tha,15093
3,tha,2100
2,isr,7015
1,sle,71
4,est,302
26,fra,629
22,gbr,903
15,fin,255
19,nga,37
7,kwt,62
8,est,91
17,bol,2
50,esp,66
46,ita,145
100,zaf,2
20,nzl,111
50,ind,54
17,cub,27
2,bel,7376
6,mys,476
6,bfa,40
2,col,2386
13,prt,251
9,aus,2128
4,nga,982
15,qat,3
36,jpn,525
5,hkg,772
53,isr,24
23,dnk,110
15,kgz,1
72,bel,15
67,aus,38
70,jpn,104
2,sdn,312
147,sau,1
3,esp,16398
4,bra,9974
