Title,Year,Abstract,Text,Mentions,Group,GO,CW,GC,Topic
"To govern, or not to govern? Opportunity and post-coup military behaviour in Egypt 2011–2014",2019,"This article examines Egyptian military behaviour in 2011 and 2013 to address the question of why officers remain in power following some successful coups, and allow for a transition to civilian rule after others. My evidence suggests that in post-1970 cases where international factors fail to exert sufficient pressure, outcome variation is influenced by levels of corporate opportunity, defined here as the ease with which the army can use control of the state to expand its corporate interests. Drawing on the existing literature, I posit consensus against military rule, high popular support for democracy, strong civil society, the presence of a strong opposition party, and low levels of cohesion among officers as factors which constrain opportunity. Prior research suggests that when the level of opportunity is high, controlling the state becomes a high-risk/low-reward endeavour, making it likely that officers will allow for a transition to civilian rule. My study contributes to the existing scholarship by using original data gathered through interviews with Egyptian officers, as well as other experts on the Egyptian military, to argue that low consensus against military rule, low support for democracy, and high organizational cohesion are jointly sufficient to produce governing intervention. ","To govern, or not to govern? Opportunity and post-coup military behaviour in Egypt 2011–2014 This article examines Egyptian military behaviour in 2011 and 2013 to address the question of why officers remain in power following some successful coups, and allow for a transition to civilian rule after others. My evidence suggests that in post-1970 cases where international factors fail to exert sufficient pressure, outcome variation is influenced by levels of corporate opportunity, defined here as the ease with which the army can use control of the state to expand its corporate interests. Drawing on the existing literature, I posit consensus against military rule, high popular support for democracy, strong civil society, the presence of a strong opposition party, and low levels of cohesion among officers as factors which constrain opportunity. Prior research suggests that when the level of opportunity is high, controlling the state becomes a high-risk/low-reward endeavour, making it likely that officers will allow for a transition to civilian rule. My study contributes to the existing scholarship by using original data gathered through interviews with Egyptian officers, as well as other experts on the Egyptian military, to argue that low consensus against military rule, low support for democracy, and high organizational cohesion are jointly sufficient to produce governing intervention. ",['egy'],GO,True,False,False,1
Friends will be friends? External–domestic interactions in EU-Tunisia and EU-Morocco security cooperation after the uprisings,2019,"The article moves beyond the debate about the continuity and change in EU policy-making towards post-uprisings North Africa to explain the way in which the relationship evolved in the case of functional areas and notably security cooperation. Specifically, this article argues that persistence in the EU’s approach did not necessarily entail continuity in EU-Tunisia and EU-Morocco interactions on security. Rather, there have been changes in the continuity and continuity in the changes that took place. It is often assumed that the relationship is unidirectional and that target countries can simply choose either acquiescence or resistance. The post-uprising reality shows that domestic events in Tunisia and Morocco had an impact on how they approached the EU and how, in turn, the EU reacted to them. There is therefore what can be called a feedback loop that makes relationships more complex and ‘individualised’ than previously assumed. ","Friends will be friends? External–domestic interactions in EU-Tunisia and EU-Morocco security cooperation after the uprisings The article moves beyond the debate about the continuity and change in EU policy-making towards post-uprisings North Africa to explain the way in which the relationship evolved in the case of functional areas and notably security cooperation. Specifically, this article argues that persistence in the EU’s approach did not necessarily entail continuity in EU-Tunisia and EU-Morocco interactions on security. Rather, there have been changes in the continuity and continuity in the changes that took place. It is often assumed that the relationship is unidirectional and that target countries can simply choose either acquiescence or resistance. The post-uprising reality shows that domestic events in Tunisia and Morocco had an impact on how they approached the EU and how, in turn, the EU reacted to them. There is therefore what can be called a feedback loop that makes relationships more complex and ‘individualised’ than previously assumed. ","['mar', 'tun']",GC,True,False,True,11
Egypt is not for sale! Harnessing nationalism for alliance building in Egypt’s Tiran and Sanafir island protests,2019,"Adopting a discourse-theoretical perspective on contentious politics in Egypt, this article investigates how in early 2016 the transfer of the archipelago of Tiran and Sanafir to Saudi Arabia became a catalyst for oppositional subject formation and the emergence of an unlikely protest coalition. Drawing on a combination of protest event analysis and discourse analysis, it explores how the land swap provided the opposition with an opportunity to challenge the state’s nationalist prestige, and produced relations that favoured cross-movement mobilisation. The so-called ‘Popular Campaign to Protect the Land’ brought together leftists, liberals and nationalists, and thus enabled the articulation of broader socio-political demands in an otherwise closed context. The case study illustrates how dissonance between the discourse and practices of nationalist regimes can trigger cross-ideological collaboration. It furthermore shows how the emergence, as well as the trajectory and goals of such alliances, are shaped by interaction with the state. ","Egypt is not for sale! Harnessing nationalism for alliance building in Egypt’s Tiran and Sanafir island protests Adopting a discourse-theoretical perspective on contentious politics in Egypt, this article investigates how in early 2016 the transfer of the archipelago of Tiran and Sanafir to Saudi Arabia became a catalyst for oppositional subject formation and the emergence of an unlikely protest coalition. Drawing on a combination of protest event analysis and discourse analysis, it explores how the land swap provided the opposition with an opportunity to challenge the state’s nationalist prestige, and produced relations that favoured cross-movement mobilisation. The so-called ‘Popular Campaign to Protect the Land’ brought together leftists, liberals and nationalists, and thus enabled the articulation of broader socio-political demands in an otherwise closed context. The case study illustrates how dissonance between the discourse and practices of nationalist regimes can trigger cross-ideological collaboration. It furthermore shows how the emergence, as well as the trajectory and goals of such alliances, are shaped by interaction with the state. ","['egy', 'sau']",GO,True,False,False,5
Gaining legitimacy in post-qaddafi libya: Analysing attempts of the muslim brotherhood,2019,"The Libyan Muslim Brotherhood needed to manoeuvre underground for several decades, just as most opposition groups in Libya had to—because of the repression from the Qaddafi regime. In 2012, however, the political wing of the Libyan Muslim Brotherhood (LMB), the Justice and Construction Party (JCP, sometimes also called the Justice and Development Party) participated in popular elections just shortly after its inception. Seven years later, one can unanimously say that the movement was not able to take power in the country. This paper will analyse the LMB in post-revolutionary Libya by concentrating on the attempts of establishing legitimacy in the political sphere—while continuously being informed by historical influences. Methodologically, the paper examines primary sources, key academic texts but also factors in interview data from semi-structured interviews. Overall, the paper addresses the puzzle of why Libya as a predominantly Sunni, conservative country did not translate into a conservative Sunni movement like the LMB faring well, with that, derailing the impression that the whole region was “going Islamist” after the so-called Arab Spring. The LMB today is still influenced by the historical treatment it received under Qaddafi, which lead it to base itself mostly in exile, hence it struggled to entrench itself in the country. The LMB was pointed towards their opponents’ fearmongering of an alleged Islamist takeover, mostly without addressing self-inflicted wounds, such as their inability to unite or to convince major parts of the population of their political programme. ","Gaining legitimacy in post-qaddafi libya: Analysing attempts of the muslim brotherhood The Libyan Muslim Brotherhood needed to manoeuvre underground for several decades, just as most opposition groups in Libya had to—because of the repression from the Qaddafi regime. In 2012, however, the political wing of the Libyan Muslim Brotherhood (LMB), the Justice and Construction Party (JCP, sometimes also called the Justice and Development Party) participated in popular elections just shortly after its inception. Seven years later, one can unanimously say that the movement was not able to take power in the country. This paper will analyse the LMB in post-revolutionary Libya by concentrating on the attempts of establishing legitimacy in the political sphere—while continuously being informed by historical influences. Methodologically, the paper examines primary sources, key academic texts but also factors in interview data from semi-structured interviews. Overall, the paper addresses the puzzle of why Libya as a predominantly Sunni, conservative country did not translate into a conservative Sunni movement like the LMB faring well, with that, derailing the impression that the whole region was “going Islamist” after the so-called Arab Spring. The LMB today is still influenced by the historical treatment it received under Qaddafi, which lead it to base itself mostly in exile, hence it struggled to entrench itself in the country. The LMB was pointed towards their opponents’ fearmongering of an alleged Islamist takeover, mostly without addressing self-inflicted wounds, such as their inability to unite or to convince major parts of the population of their political programme. ",['lby'],CW,False,True,False,2
Blue blood or true blood: Why are levels of intrastate armed conflict so low in Middle Eastern monarchies?,2019,"In the aftermath of the Arab uprisings, the difference between monarchies and republics appears more profound than ever. Aside from Bahrain, all of the Middle Eastern monarchies avoided major anti-governmental protests, and no armed conflict has occurred in any of them since 1979. Inspired by Middle Eastern case studies, this article argues that traditional legitimacy contributes to peace in Middle Eastern monarchies. The article explores the argument with time-series cross-sectional data covering 19 Middle Eastern countries from 1947 (or independence) to 2009. Traditional legitimacy is not measured directly but assumed to be embedded in the monarchical regime type, and the results show that alternative covariates are unable to fully explain the monarchical peace. Moreover, the study finds that horizontal discrimination increases the risk of intrastate conflict in authoritarian republics but that discrimination has no effect in monarchies. Future conflict studies should therefore consider legitimacy connected to authoritarian regime types. ","Blue blood or true blood: Why are levels of intrastate armed conflict so low in Middle Eastern monarchies? In the aftermath of the Arab uprisings, the difference between monarchies and republics appears more profound than ever. Aside from Bahrain, all of the Middle Eastern monarchies avoided major anti-governmental protests, and no armed conflict has occurred in any of them since 1979. Inspired by Middle Eastern case studies, this article argues that traditional legitimacy contributes to peace in Middle Eastern monarchies. The article explores the argument with time-series cross-sectional data covering 19 Middle Eastern countries from 1947 (or independence) to 2009. Traditional legitimacy is not measured directly but assumed to be embedded in the monarchical regime type, and the results show that alternative covariates are unable to fully explain the monarchical peace. Moreover, the study finds that horizontal discrimination increases the risk of intrastate conflict in authoritarian republics but that discrimination has no effect in monarchies. Future conflict studies should therefore consider legitimacy connected to authoritarian regime types. ",['bhr'],GC,False,False,True,10
Perception of ESG criteria by mainstream investors: evidence from Tunisia,2019,"Purpose: The purpose of this paper is to explore the perception of environmental, social and governance (ESG) criteria by mainstream investors in an emerging financial market, that of Tunisia, country at the origin of the Arab Spring. Design/methodology/approach: A series of focus groups and semi-structured interviews were conducted with financial professionals. Findings: Despite efforts by the Tunisian state to promote CSR and ESG criteria since the outbreak of the revolution of January 14th, 2011, the results show that these criteria are fairly well known by our interlocutors. As part of an investment allocation decision, the ESG criteria are considered as secondary to financial ones. The three criteria are classified as follows according to their usefulness in the investment choices of financial professionals: corporate governance, social and environmental. Research limitations/implications: In addition to the subjective nature of the data collected, this research is limited to the input of only financial professionals. It does not inform us about ESG indicators that may influence the investment decisions of financial professionals, and thus this issue deserves further reflection. Originality/value: This exploratory study sheds light on a little-explored topic in Tunisia, country at the origin of the Arab Spring. It contributes to the existing literature in the areas of investor behavior toward ESG criteria and adds to the limited literature in the area of emerging countries. ","Perception of ESG criteria by mainstream investors: evidence from Tunisia Purpose: The purpose of this paper is to explore the perception of environmental, social and governance (ESG) criteria by mainstream investors in an emerging financial market, that of Tunisia, country at the origin of the Arab Spring. Design/methodology/approach: A series of focus groups and semi-structured interviews were conducted with financial professionals. Findings: Despite efforts by the Tunisian state to promote CSR and ESG criteria since the outbreak of the revolution of January 14th, 2011, the results show that these criteria are fairly well known by our interlocutors. As part of an investment allocation decision, the ESG criteria are considered as secondary to financial ones. The three criteria are classified as follows according to their usefulness in the investment choices of financial professionals: corporate governance, social and environmental. Research limitations/implications: In addition to the subjective nature of the data collected, this research is limited to the input of only financial professionals. It does not inform us about ESG indicators that may influence the investment decisions of financial professionals, and thus this issue deserves further reflection. Originality/value: This exploratory study sheds light on a little-explored topic in Tunisia, country at the origin of the Arab Spring. It contributes to the existing literature in the areas of investor behavior toward ESG criteria and adds to the limited literature in the area of emerging countries. ",['tun'],GO,True,False,False,4
"Vulnerability, resistance and sexuality in revolutionary Egypt",2019,"This paper examines the interconnections between public sexual violence, female shame and public feminism in modern Egypt, using Judith Butler's Vulnerability and Resistance theory. It connects aspects of public sexual violence against women generally and politicized sexual violence in 21st-century Egypt in particular, arguing that successive political regimes in Egypt produce and maintain a spatial culture of vulnerability and inferiorization as a political tool of silencing and oppressing women and opposition premised upon media-oriented female shame ideas. These shame ideas relate and condemn female sexuality and public participation, establishing the public space as militarized, dangerous and exclusive. This paper attempts to reflect on the successes and failures of public feminism in Egypt in addressing such politicized culture of female vulnerability and isolation in public spaces, with a particular focus on fighting politicized forms of sexual violence directed against women in post-2011 revolutionary Egypt. It argues further that sexual violence against women and the repression of public feminism in Egypt are parts of the failure of the processes of democratic transition and state formation; the survival of socio-economic and cultural hierarchy and vulnerability in modern Egypt. The paper maintains that Egyptian women's remarkable and solid public activism during and after 2011-revolution shows them as able to invade the exclusive public spaces and hence are able to create new spaces of female resistance and new forms of public mobilization in the country. ","Vulnerability, resistance and sexuality in revolutionary Egypt This paper examines the interconnections between public sexual violence, female shame and public feminism in modern Egypt, using Judith Butler's Vulnerability and Resistance theory. It connects aspects of public sexual violence against women generally and politicized sexual violence in 21st-century Egypt in particular, arguing that successive political regimes in Egypt produce and maintain a spatial culture of vulnerability and inferiorization as a political tool of silencing and oppressing women and opposition premised upon media-oriented female shame ideas. These shame ideas relate and condemn female sexuality and public participation, establishing the public space as militarized, dangerous and exclusive. This paper attempts to reflect on the successes and failures of public feminism in Egypt in addressing such politicized culture of female vulnerability and isolation in public spaces, with a particular focus on fighting politicized forms of sexual violence directed against women in post-2011 revolutionary Egypt. It argues further that sexual violence against women and the repression of public feminism in Egypt are parts of the failure of the processes of democratic transition and state formation; the survival of socio-economic and cultural hierarchy and vulnerability in modern Egypt. The paper maintains that Egyptian women's remarkable and solid public activism during and after 2011-revolution shows them as able to invade the exclusive public spaces and hence are able to create new spaces of female resistance and new forms of public mobilization in the country. ",['egy'],GO,True,False,False,14
"Identification of victims from mass grave discovery near Benghazi, Libya",2019,"Background: A mass grave is any site that containing two or more associated corpses, at random or on purpose placed, of people who have died as a result of extra-judicial or random executions, not including those people who have died from armed confrontations or known major catastrophes. Case presentation: The purpose of this paper is to explain how to reconstruct a biological profile of decomposed or skeletonized bodies and clarify the efforts done by the Libyan scientist after 2011 revolution and to set a reference for other researcher. The alleged location of the grave, as well as the alleged number and identities of the persons buried in the grave were obtained exclusively from witnesses' and relatives’ testimonies. Conclusion: As the testimonies said, the grave was located at the alleged location and seven skeletons were exhumed. Also, the osteological and DNA study made investigators to identify the exhumed skeletons. And the dental analysis support the identification of a seven man alleged to have been buried in the grave, 7 victims were discovered. ","Identification of victims from mass grave discovery near Benghazi, Libya Background: A mass grave is any site that containing two or more associated corpses, at random or on purpose placed, of people who have died as a result of extra-judicial or random executions, not including those people who have died from armed confrontations or known major catastrophes. Case presentation: The purpose of this paper is to explain how to reconstruct a biological profile of decomposed or skeletonized bodies and clarify the efforts done by the Libyan scientist after 2011 revolution and to set a reference for other researcher. The alleged location of the grave, as well as the alleged number and identities of the persons buried in the grave were obtained exclusively from witnesses' and relatives’ testimonies. Conclusion: As the testimonies said, the grave was located at the alleged location and seven skeletons were exhumed. Also, the osteological and DNA study made investigators to identify the exhumed skeletons. And the dental analysis support the identification of a seven man alleged to have been buried in the grave, 7 victims were discovered. ",['lby'],CW,False,True,False,2
Understanding Russia’s return to the Middle East,2019,"Over recent years, there has been a significant resurgence of Russian power and influence in the Middle East, which has been evident in the diplomatic and military intervention into Syria. This article identifies the principal factors behind Russia’s return to the region. First, there are domestic political influences with the coincidence of the uprisings in the Middle East, the so-called ‘Arab Spring,’ with large-scale domestic opposition protests within Russia during the elections in 2011–2012. Second, there is the role of ideas, most notably the growing anti-Westernism in Putin’s third presidential term, along with Russia’s own struggle against Islamist terrorism. These ideational factors contributed to Russia’s resolve to support the Assad government against both Western intervention and its domestic Islamist opposition. Third, Russia has benefited from a pragmatic and flexible approach in its engagement with the region. Moscow seeks to ensure that it is a critical actor for all the various states and political movements in the Middle East. ","Understanding Russia’s return to the Middle East Over recent years, there has been a significant resurgence of Russian power and influence in the Middle East, which has been evident in the diplomatic and military intervention into Syria. This article identifies the principal factors behind Russia’s return to the region. First, there are domestic political influences with the coincidence of the uprisings in the Middle East, the so-called ‘Arab Spring,’ with large-scale domestic opposition protests within Russia during the elections in 2011–2012. Second, there is the role of ideas, most notably the growing anti-Westernism in Putin’s third presidential term, along with Russia’s own struggle against Islamist terrorism. These ideational factors contributed to Russia’s resolve to support the Assad government against both Western intervention and its domestic Islamist opposition. Third, Russia has benefited from a pragmatic and flexible approach in its engagement with the region. Moscow seeks to ensure that it is a critical actor for all the various states and political movements in the Middle East. ","['syr', 'rus']",CW,False,True,False,19
The Role of Regional Media in Shaping Political Awareness of Youth: Evidence from Egypt,2019,"This is an exploratory study that aims to answer the question of whether and to what extent regional media are influential in shaping political awareness and its role in influencing public opinion, especially that of young people. We examined regional media in Egypt, more precisely in the Suez Canal Region. To ensure the validity of our results, we deployed a number of different data collection methods: the collection, analysis, and integration of quantitative and qualitative research. The results reveal that regional media have the potential to contribute effectively in raising youths' political awareness of the public policy-making process. The recommendations specified are the elimination of red tape, governmental bureaucracy, and centralization in the management of regional radio and television is required; also necessary are financial independence and the restructuring of the organizational hierarchy of all state-run regional media. Related Articles: Antwi-Boateng, Osman. 2015. “No Spring in Africa: How Sub-Saharan Africa has Avoided the Arab Spring Phenomenon.” Politics & Policy 43 (5): 754-784. https://doi.org/10.1111/polp.12129. Khodr, Hiba, and Isabella Ruble. 2013. “Energy Policies and Domestic Politics in the MENA Region in the Aftermath of the Arab Upheavals: The Cases of Lebanon, Libya, and KSA.” Politics & Policy 41 (5): 656-689. http://onlinelibrary.wiley.com/doi/10.1111/polp.12033.x. Sarquís, David J. 2012. “Democratization after the Arab Spring: The Case of Egypt's Political Transition.” Politics & Policy 40 (5): 871-903. https://doi.org/10.1111/j.1747-1346.2012.00381.x. Related Media: Bonney, Victoria. 2018. “How Social Media is Shaping our Political Future.” TEDx Talks. https://www.youtube.com/watch?v=9Kd99IIWJUw&t=34s. Painter, David. 2014. “Social Media and Political Campaigns – Youth Voting; Positive Messaging.” https://www.youtube.com/watch?v=rxE2OGYhVvo. ","The Role of Regional Media in Shaping Political Awareness of Youth: Evidence from Egypt This is an exploratory study that aims to answer the question of whether and to what extent regional media are influential in shaping political awareness and its role in influencing public opinion, especially that of young people. We examined regional media in Egypt, more precisely in the Suez Canal Region. To ensure the validity of our results, we deployed a number of different data collection methods: the collection, analysis, and integration of quantitative and qualitative research. The results reveal that regional media have the potential to contribute effectively in raising youths' political awareness of the public policy-making process. The recommendations specified are the elimination of red tape, governmental bureaucracy, and centralization in the management of regional radio and television is required; also necessary are financial independence and the restructuring of the organizational hierarchy of all state-run regional media. Related Articles: Antwi-Boateng, Osman. 2015. “No Spring in Africa: How Sub-Saharan Africa has Avoided the Arab Spring Phenomenon.” Politics & Policy 43 (5): 754-784. https://doi.org/10.1111/polp.12129. Khodr, Hiba, and Isabella Ruble. 2013. “Energy Policies and Domestic Politics in the MENA Region in the Aftermath of the Arab Upheavals: The Cases of Lebanon, Libya, and KSA.” Politics & Policy 41 (5): 656-689. http://onlinelibrary.wiley.com/doi/10.1111/polp.12033.x. Sarquís, David J. 2012. “Democratization after the Arab Spring: The Case of Egypt's Political Transition.” Politics & Policy 40 (5): 871-903. https://doi.org/10.1111/j.1747-1346.2012.00381.x. Related Media: Bonney, Victoria. 2018. “How Social Media is Shaping our Political Future.” TEDx Talks. https://www.youtube.com/watch?v=9Kd99IIWJUw&t=34s. Painter, David. 2014. “Social Media and Political Campaigns – Youth Voting; Positive Messaging.” https://www.youtube.com/watch?v=rxE2OGYhVvo. ","['lby', 'lbn', 'egy', 'sau']",CW,True,True,False,0
