Topic,Words,Frequency,Timestamp
-1,"arab, political, spring, arab spring, middle",27,2011
0,"media, social, social media, arab, new",8,2011
1,"egypt, egyptian, transport, revolution, transportation",11,2011
2,"libya, libyan, libyas, intervention, ntc",5,2011
3,"syria, syrian, regime, war, strategy",7,2011
4,"production, oil, gas, price, study",5,2011
5,"morocco, moroccan, berber, political, colonial",5,2011
6,"turkey, turkeys, effect, demonstrative effect, demonstrative",3,2011
7,"tunisian, political, civil, civil society, activities",2,2011
8,"arab, uprisings, change, arab world, world",7,2011
10,"bahrain, gulf, monarchies, saudi, states",3,2011
11,"eu, enp, eus, european, policy",2,2011
12,"womens, rights, gender, womens rights, women",2,2011
14,"womens, sexual, egypt, gender, public",2,2011
15,"muslim, religious, turkey iran, movements, islamist",2,2011
16,"yemen, alqaida, arabian peninsula, peninsula, arabian",2,2011
18,"hotel, hotel industry, tourism, industry, egyptian",1,2011
19,"russias, moscow, russian, counterrevolutionary, strengthening",1,2011
22,"armies, civil, civil peace, role, wars",1,2011
-1,"arab, spring, arab spring, political, countries",31,2012
0,"media, social, social media, political, use",21,2012
1,"egyptian, egypt, political, 2011, revolution",21,2012
2,"libya, libyan, revolution, libyas, political",13,2012
3,"syrian, syria, opposition, regime, groups",10,2012
4,"gas, food, oil, impact, politicallegal",6,2012
5,"morocco, moroccan, political, constitutional, arab",6,2012
6,"turkey, relations, syria, turkeys, regional",6,2012
7,"tunisian, tunisia, revolution, ben, arab",7,2012
8,"uprisings, arab, revolutions, political, nonviolent",7,2012
9,"bahrain, women, bahraini, movement, kuwait",6,2012
10,"saudi, saudi arabia, arabia, gulf, monarchies",3,2012
11,"eu, domestic, cooperation, democracy promotion, change",1,2012
12,"womens, women, rights, feminism, womens rights",3,2012
13,"refugees, protection, sahrawis palestinians, sahrawis, palestinians",1,2012
14,"women, sexual, womens, egypt, bargain",2,2012
15,"changes muslim world, radical changes, radical changes muslim, changes muslim, modernizing",1,2012
16,"yemens, air force, yemen, yemeni, air",2,2012
17,"jordan, water, zionist, colonialism, arab",5,2012
18,"destination, destinations, branding, destination branding, cases dubai",1,2012
