Topic,Words,Frequency,Timestamp
-1,"arab, political, tunisia, middle, spring",21,2011
0,"libya, libyan, libyas, intervention, women",5,2011
1,"media, arab, wikileaks, social, arab spring",3,2011
2,"arab, uprisings, egypt, change, political",8,2011
3,"syria, strategy, war, region, arab",5,2011
4,"production, oil, price, production capacity, million",3,2011
6,"womens, gender, womens rights, rights, colonial",1,2011
7,"eu, eus, africans, north, place",1,2011
8,"alqaida, arabian peninsula, peninsula, yemen, arabian",2,2011
9,"activities, political, tunisian, ben, contentious activities",1,2011
12,"effect, turkeys, demonstrative effect, demonstrative, turkish",1,2011
-1,"arab, tunisia, spring, arab spring, countries",25,2012
0,"libya, libyan, revolution, political, 2011",14,2012
1,"media, social, social media, political, online",12,2012
2,"uprisings, arab, political, egypt, movements",6,2012
3,"east, middle, middle east, policy, arab",4,2012
4,"food, oil, politicallegal, production, gas",4,2012
5,"alliance, islamist, tunisias, elections, ennahda",1,2012
6,"women, tunisia, womens, tunisian, rights",2,2012
7,"eu, domestic, cooperation, democracy promotion, promotion",2,2012
8,"yemens, air force, yemen, yemeni, air",2,2012
9,"tunisian, ben, tunisia, revolution, article",5,2012
12,"relations, turkey, turkishsaudi, regional, new",2,2012
-1,"arab, spring, arab spring, tunisia, political",27,2013
0,"libya, libyan, health, revolution, libyas",15,2013
1,"media, social, social media, arab, spring",18,2013
2,"uprisings, arab, political, movements, arab uprisings",8,2013
3,"arab, doctrine, syria, war, regime",5,2013
4,"fdi, corruption, mena, markets, economic",4,2013
5,"political, ennahda, islamists, tunisia, tunisia egypt morocco",3,2013
6,"women, transitional justice, arab, transitional, justice",3,2013
7,"eu, migration, eus, arab, european",3,2013
8,"conflict, yemen, tribal, th, th conflict",3,2013
9,"ben, tunisian, ben ali, ali, regime",2,2013
10,"higher education, higher, education, tunisia, policies",1,2013
12,"turkish, relations, foreign policy, foreign, policy",3,2013
-1,"arab, spring, arab spring, tunisia, political",20,2014
0,"libyan, libya, colon, property, revolution",11,2014
1,"media, social, social media, political, new",14,2014
2,"rentier, uprisings, rentier states, states, arab",5,2014
3,"saudi, regional, arab, united states, arab spring",2,2014
4,"markets, food, prices, oil, commodity",2,2014
5,"indonesia, islamist parties, parties, islamist, turkish model",2,2014
6,"women, womens, citizenship, education, tunisian",4,2014
7,"eu, european, security, neighborhood, democracy promotion",3,2014
8,"yemen, heritage, yemens, yemeni, cities",3,2014
11,"coloured revolutions, coloured, democratic, gains, revolutions",1,2014
12,"kurdish question, kurdish, turkeys, question, pkk",2,2014
-1,"arab, spring, political, tunisia, arab spring",33,2015
0,"libya, libyan, r2p, intervention, international",7,2015
1,"media, social, social media, news, coverage",16,2015
2,"arab, egypt, political, uprisings, state",7,2015
3,"policy, foreign, arab, foreign policy, gcc",5,2015
4,"inflation, banks, economic, arab, tunisia",3,2015
5,"parties, ennahda, political, democratic, religious",4,2015
6,"rights, womens, bodies, women, body",3,2015
7,"european, eu, eus, article, european union",4,2015
8,"hospital, preparedness, yemen, disaster, hospital disaster",2,2015
9,"ben, emigration, postrevolution, tunisian, regime",2,2015
10,"youth, political reform, youth uprising, reform, quest political reform",1,2015
11,"morocco, continuity, tunisia, emergency, uprisings",7,2015
12,"turkeys, r2p, policy, foreign policy, foreign",2,2015
-1,"arab, spring, arab spring, tunisia, countries",21,2016
0,"libya, libyan, r2p, political, security",12,2016
1,"media, social, social media, coverage, al",5,2016
2,"uprisings, arab, military, political, egypt",4,2016
