number_of_publications,latest_affiliation_country,dist
1,tgo,203
4,fra,4988
29,ita,340
14,arg,190
14,tun,87
11,bra,1256
14,mex,223
16,swe,300
39,usa,965
68,chn,59
31,can,232
73,usa,183
126,usa,48
46,chn,174
5,uzb,27
3,lby,37
17,zwe,6
9,mlt,7
102,gbr,9
130,deu,12
1,mne,69
70,ind,11
8,svn,122
2,kaz,117
9,nld,1079
23,can,398
44,usa,722
49,fra,114
3,bgr,420
10,mys,142
39,chn,221
39,bel,40
5,mmr,4
129,kor,4
1,myt,20
102,jpn,36
1,tza,1165
4,nld,2473
9,col,97
26,nor,72
10,kor,888
15,irl,96
78,isr,6
60,nld,32
32,kor,120
26,mda,1
28,,54
5,deu,3970
3,mex,2379
11,hrv,161
6,ukr,77
16,nld,476
20,prt,81
3,cri,118
28,bra,202
47,nld,68
60,usa,312
50,nld,57
36,aus,121
29,est,4
220,fra,2
34,cze,25
98,usa,83
14,ukr,23
5,per,111
24,ken,11
59,aus,36
68,jpn,70
206,ita,3
1,grc,4823
3,svk,476
3,yem,27
12,bra,1040
10,esp,1595
20,swe,202
7,hun,299
31,cze,49
22,tha,50
42,usa,790
100,kor,8
53,tun,4
25,sau,12
32,swe,79
59,ind,28
41,hun,6
50,uga,4
15,npl,12
1,afg,126
1,tcd,63
1,gum,44
3,cpv,2
3,nor,1381
8,nga,287
10,grc,358
38,ita,189
68,kor,30
182,jpn,4
15,esp,853
17,nor,146
2,pak,2068
6,tha,533
42,fra,137
19,aus,463
17,fra,838
13,fin,229
5,gab,21
42,svn,4
40,prt,18
177,usa,15
16,ken,17
18,hun,62
6,jam,28
384,ita,1
369,usa,1
9,sen,22
5,,3634
19,usa,3988
15,ita,1267
7,bel,598
16,kwt,11
8,nzl,371
15,cze,179
12,blr,3
20,tur,417
147,usa,32
36,hkg,29
37,swe,63
34,twn,80
18,irn,146
58,isr,9
175,aus,3
2,mac,47
1,,62874
17,can,615
6,cze,573
18,grc,140
7,jor,75
33,ind,111
12,nzl,199
8,dom,2
42,bra,81
169,fin,1
42,can,124
109,swe,6
3,ury,144
6,lux,15
15,egy,31
13,ltu,31
15,ltu,18
51,nld,60
214,ita,2
2,ncl,53
44,tun,4
3,bra,9071
2,plw,8
4,twn,1873
26,usa,2166
16,nor,164
12,gha,13
30,ita,324
28,jpn,612
40,aus,107
54,cze,7
22,pol,162
22,ind,243
37,ita,187
26,che,96
60,twn,19
3,mmr,27
37,kor,103
2,jpn,14442
1,bol,432
3,arg,1790
8,ind,1751
3,ukr,269
9,ita,2448
5,kwt,95
18,tur,515
22,dnk,98
21,deu,700
15,deu,1048
43,gbr,147
3,hti,14
40,tur,107
19,hkg,70
24,irl,37
1,sen,538
16,tur,591
24,usa,2454
9,bfa,19
6,ken,138
16,pol,301
20,aus,419
21,chn,905
47,che,40
118,usa,41
62,fin,13
8,kor,1194
103,ita,11
29,chn,452
205,jpn,4
1,glp,69
8,omn,30
62,grc,8
1,slb,53
1,ita,20330
3,npl,225
19,deu,744
13,mar,44
29,tza,5
57,rus,7
14,irl,109
26,cze,63
61,jpn,116
41,rus,21
95,esp,9
51,fra,75
127,usa,39
81,usa,133
38,tun,4
27,srb,16
17,kor,408
8,col,117
50,aus,60
90,chn,31
96,aus,11
107,chn,19
3,irl,825
25,tur,266
3,lbn,143
5,ukr,96
90,srb,1
61,aus,29
25,ury,1
20,cub,11
24,svk,16
8,bra,2147
17,tur,534
21,rus,98
19,hrv,49
19,svk,35
53,ind,29
49,can,67
31,kor,161
78,esp,14
101,ita,11
51,mex,8
72,aut,6
2,bwa,150
6,jpn,5056
10,bgd,54
13,idn,14
16,nzl,122
3,kor,3636
110,usa,58
142,gbr,4
7,sgp,200
92,aus,12
21,bih,4
9,rou,136
38,ind,74
6,are,78
71,bra,15
69,gbr,55
10,,900
6,ita,3929
28,cze,59
35,jpn,404
15,rus,195
76,usa,169
78,fin,7
91,gbr,28
52,zaf,7
3,lva,101
2,ago,23
37,twn,76
30,hun,26
44,twn,46
4,esp,5048
2,ind,11866
6,mex,920
4,egy,679
10,dnk,335
4,bgd,318
1,arm,182
8,ita,2878
11,aus,1097
3,mdg,62
1,blr,311
31,fra,303
11,svk,83
7,tjk,3
30,che,78
54,chn,110
15,hun,86
1,sau,2447
1,aut,3116
3,tza,232
1,irl,2855
28,fra,342
19,hun,63
18,bel,144
22,ita,613
17,irl,68
33,ita,260
51,srb,3
129,aus,7
18,ncl,2
4,tun,413
1,mkd,345
61,prt,9
2,mwi,192
2,idn,846
1,hun,2697
6,lao,5
24,deu,573
16,jpn,1518
61,deu,81
38,gbr,225
23,chl,29
21,aus,342
13,kor,671
19,nzl,101
8,syr,11
238,jpn,1
3,tur,3297
9,bra,1786
22,usa,2822
6,che,788
7,ecu,15
13,tur,725
34,che,60
44,bra,74
63,jpn,107
68,aus,34
44,tha,8
11,mys,127
19,mwi,1
71,chn,48
57,ind,20
41,twn,56
4,bih,96
5,prt,695
12,swe,468
21,can,429
14,hrv,103
30,nor,56
4,tto,38
102,swe,4
79,ita,14
51,hkg,8
6,ltu,152
4,lbr,1
11,jpn,2545
9,mys,182
12,deu,1343
5,tun,295
9,chn,4227
25,kor,240
66,usa,285
25,bel,72
61,bel,19
32,zaf,12
307,chn,1
42,sgp,5
6,twn,1095
73,kor,21
1,gbr,40468
2,ltu,542
3,mar,395
9,zaf,310
13,twn,400
11,tun,94
19,tur,485
120,usa,36
35,usa,1179
9,omn,15
36,can,161
26,hkg,33
48,aus,72
81,gbr,32
19,per,3
4,tur,2540
5,nor,781
18,usa,4071
5,chn,9443
5,bgr,208
5,bol,29
11,isr,259
13,bel,251
42,jpn,271
11,nic,3
45,irl,15
131,usa,37
30,arg,24
69,nld,30
17,mys,65
61,che,16
2,aus,9591
3,bih,128
7,svk,179
20,usa,3445
15,nzl,138
12,rus,373
27,nld,167
53,grc,14
35,ita,233
73,pak,1
15,zaf,125
45,aus,80
21,isr,121
20,chn,1113
120,dnk,1
49,bra,51
16,ben,3
8,ltu,93
15,gha,7
2,ben,108
16,ltu,15
2,khm,114
84,deu,43
5,usa,22712
1,vnm,1973
2,srb,953
