number_of_publications,latest_affiliation_country,dist
1,dom,587
46,deu,500
11,mco,5
8,twn,2420
14,civ,19
8,cze,1418
93,nld,59
59,hrv,10
15,twn,844
64,tur,70
110,twn,23
124,nor,4
81,ita,118
15,jor,70
2,cmr,1556
83,irn,35
37,prt,104
2,reu,56
49,zaf,36
95,pol,23
55,hrv,11
39,aus,399
27,lbn,21
3,guy,19
92,chn,231
77,nor,28
246,esp,2
117,esp,29
1,kwt,3723
2,ven,3170
17,nld,1152
15,fra,2992
34,can,526
17,bra,1990
53,bra,215
26,chn,4167
35,deu,815
128,fra,36
39,nzl,59
15,idn,101
55,dnk,57
82,usa,648
32,gbr,996
67,fra,206
52,gbr,380
91,can,71
88,aut,24
64,deu,248
25,jor,19
142,deu,44
351,usa,9
34,aus,480
293,usa,15
85,aut,16
165,zaf,2
90,aus,83
60,cyp,1
130,nld,23
88,sgp,8
47,swe,108
2,rwa,290
15,vnm,56
6,pan,46
23,bfa,6
9,tun,452
6,deu,16655
37,irn,167
10,pak,617
8,isr,1439
27,pol,413
32,mex,131
5,nzl,1589
22,rou,128
42,twn,147
71,ita,162
57,chn,797
126,irl,4
89,can,88
364,ita,2
57,twn,89
6,sdn,92
80,tur,30
16,pak,246
3,kgz,77
41,rou,35
74,esp,102
60,kaz,1
139,ita,25
1,bhs,106
3,btn,42
414,deu,2
1,lbn,4421
4,rus,15008
6,bra,12056
14,usa,20908
3,hun,3287
14,rus,1781
53,nor,50
2,kgz,193
21,prt,267
14,grc,498
45,deu,529
79,usa,707
8,chn,37401
5,ury,236
22,che,467
126,bra,26
62,nzl,28
64,aus,145
331,nld,2
112,gbr,51
161,che,5
99,chn,194
30,zaf,82
396,che,2
21,idn,54
197,kor,8
4,cod,52
18,,715
2,pri,890
40,fra,613
10,can,4422
29,deu,1154
16,prt,425
69,fra,200
25,prt,200
80,aut,20
163,deu,31
147,esp,22
79,ind,55
96,jpn,149
24,ind,1079
8,prt,1366
94,chn,201
165,grc,2
194,aut,2
74,sgp,16
31,nzl,93
286,usa,28
124,can,31
1,sdn,3173
129,chn,89
86,sgp,8
45,ltu,8
109,jpn,85
115,isr,10
67,kor,128
1,pyf,191
3,mkd,317
27,dnk,233
142,kor,24
158,jpn,27
26,irl,89
8,mdg,25
1,usa,1115744
19,fra,2175
5,ind,20031
4,isr,4041
1,est,2831
4,prt,3432
23,aus,1046
16,can,2014
4,chn,129180
11,dza,120
7,mda,19
7,blr,113
31,tur,541
67,ita,209
218,usa,43
2,geo,909
1,ant,89
37,mar,19
259,nld,2
63,bra,144
128,deu,52
35,irl,54
87,deu,123
10,prt,927
347,rus,2
161,gbr,22
11,brb,4
118,rus,14
109,nor,5
201,aus,11
48,rus,128
8,mlt,20
4,gtm,53
27,irl,73
3,khm,183
3,irq,805
18,ukr,82
53,pak,23
68,ind,73
79,aus,84
143,pak,3
2,nga,7295
53,lka,1
38,bra,411
12,zmb,15
8,nld,3983
26,pol,463
39,fra,631
22,cub,29
13,cub,89
5,grl,7
22,chl,148
2,npl,1308
56,dnk,61
54,chl,22
43,arg,61
35,tun,49
3,are,717
108,jpn,111
103,isr,13
66,twn,70
113,irl,6
33,prt,119
17,tun,163
99,nld,57
18,egy,275
12,per,77
27,tun,63
1,syr,1828
41,che,159
4,bol,78
21,kaz,8
5,sen,141
2,rus,44768
1,eth,7508
3,hrv,2249
7,bih,139
8,dnk,1475
20,cze,302
81,esp,91
23,hun,137
31,arg,135
72,grc,22
27,swe,347
23,ven,25
35,swe,199
26,jpn,1894
65,gbr,211
16,ukr,120
42,tur,250
90,hrv,2
148,ita,21
33,zaf,65
23,kor,989
261,dnk,2
35,prt,121
145,bel,14
387,usa,7
21,phl,26
60,chn,664
2,swz,74
79,bra,83
114,aus,44
253,nld,1
1,mli,815
4,lux,186
166,irn,5
8,alb,19
10,are,121
55,ben,2
14,,1167
37,esp,509
2,nld,24505
56,bra,201
27,sau,90
51,deu,374
31,ita,1117
21,grc,257
135,rus,10
25,arg,224
240,usa,28
46,twn,147
14,nzl,383
124,chn,93
50,kor,237
170,twn,14
27,arg,185
81,che,52
42,arg,60
72,tur,54
40,irn,134
150,ury,1
4,gab,71
2,irn,32807
10,mex,1311
3,ncl,68
26,idn,25
111,usa,296
47,bel,85
23,grc,233
82,jpn,201
13,ven,79
97,fra,82
108,nld,32
97,deu,99
16,twn,734
92,rus,24
59,jpn,419
71,nzl,20
88,jpn,166
82,swe,36
72,twn,52
11,svn,215
63,irl,21
8,lao,22
10,nzl,588
33,irn,214
45,est,2
376,aus,1
12,zwe,27
200,deu,11
54,che,73
10,alb,16
1,fin,19108
27,zaf,113
8,esp,6824
17,rou,230
60,fra,262
72,deu,210
8,deu,10043
4,bwa,135
23,hrv,128
148,aus,33
97,ita,71
6,pak,1514
6,irl,1243
20,ken,47
12,npl,56
136,gbr,31
192,aus,18
27,pri,7
130,ita,34
6,col,900
58,jpn,411
4,civ,228
36,twn,209
4,cmr,393
63,irn,61
105,jpn,127
67,esp,152
3,che,9854
2,rou,7095
7,svn,417
11,ukr,260
18,cub,40
7,can,7999
37,rou,41
12,hun,430
51,gbr,391
13,sen,36
97,usa,449
10,geo,55
56,nor,49
48,nld,167
80,lva,2
206,fra,11
115,esp,31
108,tun,3
76,aus,103
138,fin,6
1,gmb,290
3,mac,185
24,srb,132
4,eri,10
13,cyp,39
7,est,236
265,bel,1
37,cri,2
21,eth,29
53,kor,202
9,jor,128
109,nzl,10
63,bel,44
98,ind,31
1,bhr,1411
4,ken,723
14,fra,3499
8,jpn,12582
16,mex,533
38,usa,3308
11,ind,4853
28,aus,705
4,jam,113
8,are,195
3,cyp,330
4,col,1946
120,nld,37
39,jpn,980
55,pol,85
28,phl,15
129,bra,15
34,jpn,1206
34,fin,125
71,jpn,294
11,cyp,56
38,aus,390
77,usa,775
29,gbr,1221
138,usa,183
99,twn,37
86,chn,302
62,kor,161
400,cze,1
21,tun,100
7,alb,46
21,pak,139
6,uga,226
38,prt,101
4,yem,72
1,lso,179
47,cze,79
21,,497
15,arg,537
5,civ,149
3,moz,149
2,est,1214
73,jpn,266
29,tur,627
8,ken,263
43,cze,78
32,rus,305
47,tur,194
99,mex,5
93,esp,72
79,hun,12
135,fra,29
99,dnk,14
9,zwe,44
58,lbn,4
94,fin,11
14,col,169
105,cze,7
74,can,142
197,can,10
118,jpn,71
20,cmr,25
2,gtm,292
14,com,1
7,syc,4
14,irq,23
513,chn,2
8,aut,1282
1,tto,1504
9,mex,1548
