number_of_publications,latest_affiliation_country,dist
71,deu,17
20,tun,100
21,omn,11
23,mar,38
6,tun,414
10,nga,8
32,tun,38
16,sen,3
68,deu,15
2,are,93
5,gbr,199
5,nld,55
86,can,5
12,nga,5
192,usa,2
52,usa,36
52,fra,32
25,mar,29
16,mar,73
16,nga,8
101,mex,1
28,mar,20
86,aus,4
18,tun,101
5,irl,7
4,irn,72
1,mar,2957
8,egy,573
34,chn,9
26,ita,51
143,aus,3
27,gbr,52
21,jor,25
11,sau,40
31,egy,34
12,mex,6
32,omn,3
84,usa,17
85,gbr,6
113,can,2
226,usa,2
9,can,39
11,mar,145
6,nld,44
83,jpn,8
25,tun,59
53,aus,9
68,mar,4
45,can,9
9,bhr,17
14,cze,9
67,jpn,5
140,usa,7
70,esp,16
69,pse,1
22,,11
10,jpn,30
99,swe,2
28,egy,42
2,fin,19
18,aus,9
10,bgr,6
12,mar,121
2,jor,937
14,gbr,91
3,can,90
57,pak,1
36,mys,3
77,,2
7,,61
267,bra,2
94,fra,11
28,ita,44
1,aus,344
14,jor,56
42,esp,27
17,jor,38
171,gbr,2
54,gbr,16
25,gbr,53
28,dza,3
22,aus,19
80,fin,1
5,fra,244
11,tur,33
150,ita,4
56,tur,8
3,syr,111
40,che,8
21,per,1
5,can,73
47,deu,14
35,chn,15
32,fra,77
92,mar,1
71,twn,1
10,deu,76
142,mys,4
13,ind,22
14,ita,61
64,jpn,7
20,pak,9
1,lby,606
6,syr,33
11,kwt,34
1,ken,20
4,aus,47
454,fra,1
30,bgr,2
25,bra,11
37,tun,26
12,tun,194
45,usa,65
29,bra,8
29,esp,44
30,tun,56
4,omn,151
9,deu,77
14,tur,34
27,grc,7
29,can,11
35,ncl,1
2,bgr,9
21,fra,89
28,nga,1
35,egy,20
1,dnk,58
9,fra,158
11,lbn,13
85,chn,4
3,sau,133
29,fra,52
80,gbr,11
146,deu,1
29,ken,2
7,usa,341
2,omn,457
44,jor,3
47,fra,40
14,esp,73
44,fra,51
150,nld,4
53,can,12
8,irn,36
1,mex,69
8,usa,281
4,deu,203
33,egy,27
68,gbr,15
4,lby,39
3,usa,686
