number_of_publications,latest_affiliation_country,dist
6,tun,251
23,mar,8
46,gbr,16
100,usa,5
20,tun,36
7,tur,51
1,grd,3
5,nld,50
31,chn,4
5,gbr,216
38,chn,2
2,are,58
68,deu,8
96,chn,2
18,tun,45
55,fra,14
39,tun,8
19,,9
1,mar,1418
26,ita,31
8,egy,161
12,mex,11
25,irn,10
27,gbr,33
6,nld,47
11,mar,47
68,irn,4
3,jpn,74
3,swe,34
45,can,6
11,deu,85
70,esp,2
18,aus,23
28,egy,9
20,che,9
48,usa,26
1,twn,17
2,jor,442
14,gbr,62
3,can,94
7,,43
28,ita,33
1,aus,113
1,cyp,14
34,deu,23
122,mwi,1
22,aus,11
14,jor,17
25,gbr,38
42,esp,9
5,fra,273
21,dza,1
49,irl,2
32,fra,40
3,syr,50
2,cub,6
5,can,61
2,prt,45
14,ita,66
10,deu,75
48,tun,4
8,hrv,5
1,lby,278
4,aus,72
40,nor,3
6,syr,13
11,kwt,31
3,ita,222
35,gbr,23
14,rou,1
37,tun,4
30,tun,13
45,usa,34
12,tun,90
15,grc,8
23,isr,11
11,can,36
17,jpn,26
14,tur,21
12,chn,20
9,deu,99
4,omn,56
75,ind,1
109,deu,2
1,dnk,42
21,fra,85
9,fra,206
31,bel,7
51,bra,4
3,sau,71
41,grc,2
4,are,28
7,usa,353
2,omn,186
47,fra,20
24,zaf,4
3,chn,64
12,nld,28
14,esp,81
129,deu,1
44,fra,20
14,bra,13
2,irq,17
4,deu,188
8,usa,272
62,fra,11
27,jpn,8
4,bhr,29
3,usa,580
18,eth,2
41,deu,20
59,gbr,9
11,aut,15
16,gbr,72
16,bgd,1
28,esp,30
14,irn,17
10,syr,4
27,aus,16
1,omn,590
40,tun,6
12,gbr,80
2,bhr,93
6,can,63
15,usa,160
24,kwt,2
27,esp,31
3,irn,89
21,usa,103
17,usa,134
32,jpn,8
31,omn,1
164,usa,2
10,ind,26
11,ita,102
10,fra,199
18,jpn,23
20,can,18
4,ind,53
4,mus,1
12,ita,90
8,fra,214
19,pol,6
13,gbr,98
1,mac,4
30,sau,5
20,nld,9
2,mys,59
52,bel,3
12,egy,69
28,swe,6
150,fra,1
91,usa,8
100,esp,2
18,can,24
1,kor,25
10,mar,59
7,che,22
14,can,18
2,can,139
15,nld,20
3,tun,585
28,deu,35
13,usa,177
5,hrv,4
36,usa,33
10,kwt,29
7,tun,201
,,56682
5,egy,373
54,can,8
5,jpn,50
3,prt,44
44,gbr,10
13,nga,1
8,tun,160
13,nld,33
1,can,218
10,pol,14
35,fra,31
36,grc,2
227,isr,1
3,fra,369
22,fra,96
3,ind,83
2,nzl,20
6,,47
4,cze,25
194,nld,1
5,mdg,1
5,jor,109
15,can,26
53,usa,22
39,nld,8
8,pol,12
41,tun,8
16,deu,69
79,chn,2
1,jpn,165
2,swe,42
7,nld,32
5,bel,30
1,are,93
7,ita,131
1,pol,69
1,deu,453
27,mys,4
23,fra,79
2,lby,81
68,ita,6
6,gbr,182
21,mar,10
28,gbr,38
13,rus,10
49,pol,2
175,pol,1
32,esp,30
4,mar,280
3,kwt,185
15,tun,69
2,fra,530
40,nzl,4
10,irn,29
18,deu,55
17,deu,48
22,jpn,16
13,qat,2
10,tur,41
38,kor,2
16,sau,8
5,esp,161
11,rou,4
5,tur,67
17,,11
13,pol,12
34,tun,11
23,arg,2
28,usa,62
17,gbr,66
14,eth,2
10,arg,3
24,chn,9
71,swe,2
4,fra,316
16,swe,18
14,tun,83
39,usa,38
3,lby,32
14,ecu,1
5,mmr,1
594,can,1
28,bra,8
5,deu,143
16,nld,18
3,mex,23
1,grc,57
10,esp,97
3,yem,24
12,bra,12
38,ita,20
17,fra,111
37,fin,1
2,pak,37
5,,77
19,usa,125
16,kwt,10
24,tun,22
7,bel,32
15,ita,77
1,,1310
44,tun,4
290,usa,1
7,jor,76
70,gbr,6
30,ita,20
5,kwt,89
9,ita,117
8,ind,31
12,qat,2
15,deu,55
40,tur,7
