number_of_publications,latest_affiliation_country,dist
20,rou,121
7,tur,3625
10,nga,332
6,tun,706
24,dnk,206
100,usa,189
85,irn,15
114,nld,17
61,irl,12
34,aut,101
32,bel,127
71,deu,129
48,chn,811
46,gbr,277
32,chn,2287
348,rus,1
57,bra,86
15,svk,121
33,rou,33
63,tur,22
20,jam,3
1,gin,317
24,sgp,101
1,grd,280
46,fin,36
20,tun,83
374,usa,3
447,deu,2
119,per,1
15,irq,13
26,,118
29,,107
5,nld,5606
5,gbr,17627
20,dnk,298
22,swe,359
35,nga,18
5,dza,456
15,nor,379
17,prt,329
2,are,1192
70,deu,103
61,rus,39
68,deu,133
12,chl,329
66,esp,68
38,chn,1453
31,chn,2392
230,chn,7
101,jpn,39
5,mli,65
10,lux,55
4,mco,23
34,nga,16
49,bel,62
14,khm,10
9,qat,62
223,kor,3
16,sen,19
124,fra,22
5,zwe,90
76,svk,1
3,tcd,14
87,mys,6
26,blr,2
4,arg,3326
39,hun,30
12,nga,212
9,syr,14
86,can,32
3,arm,186
51,lka,2
12,aze,5
11,nzl,424
69,isr,11
45,twn,106
54,kor,141
93,irn,11
28,irn,259
11,cub,67
29,hkg,72
7,pri,61
109,gbr,24
107,can,26
35,mex,54
50,dnk,38
15,mys,315
7,ukr,435
14,pol,1003
76,bel,15
52,usa,964
55,gbr,160
9,irl,521
66,gbr,93
28,svk,31
45,ind,135
135,usa,89
43,irn,101
53,fin,11
68,bel,32
3,brn,67
17,srb,174
256,fra,2
96,chn,122
183,chn,12
52,fra,199
49,dnk,54
184,aus,3
5,cmr,188
127,nld,23
4,bdi,13
12,cmr,55
13,eth,71
20,pol,521
55,fra,162
5,irl,1233
16,rwa,7
2,isl,550
18,tun,109
4,irn,7965
49,irn,75
52,tha,20
13,mli,13
22,sgp,93
86,aus,39
16,nga,122
5,arm,88
70,can,70
19,bgr,39
140,rus,4
167,usa,39
140,jpn,20
94,kor,37
2,sle,110
39,are,6
63,ind,59
43,prt,49
222,deu,4
1,hti,369
147,zaf,1
75,dnk,15
20,kwt,8
62,ind,66
14,npl,25
35,phl,2
2,mrt,53
30,pak,56
